id,submission_time,vote_number,question_id,message,image
0,1493398154,4,0,"You need to use brackets: my_list = []",
1,1493088154,35,0,"Look it up in the Python docs",

2,1548966700,not implemented,3,JAZDDAAA Z TEMATEm,no image
3,1548966708,not implemented,3,"WOOOP WOOPP
",no image
4,1548966721,not implemented,3,GUNWO,no image
5,1548969379,not implemented,0,yaaaa,no image
6,1548969387,not implemented,0,yaaaa,no image
7,1549017160,not implemented,0,Your answer here...,no image
8,1549017168,not implemented,0,"Gitara
",no image
9,1549021902,not implemented,0,Your answer here...,no image
